user_id,usia,jenis_kelamin,tinggi_badan,berat_badan,aktivitas_fisik,pekerjaan_guru,pekerjaan_mahasiswa,pekerjaan_pns,pekerjaan_polisi,pekerjaan_siswa,pekerjaan_staff,pekerjaan_wirausaha,waktu_makan,harga_minimal,harga_maksimal,asin,manis,asam,gurih,pedas,renyah,halus,creamy,kental,digoreng,direbus,dibakar,dikukus,cepat_saji,beli,ranking,makanan,rating
1,21,0,154,55,0,0,1,0,0,0,0,0,2,10000.0,20000.0,2,5,1,2,9,8,6,5,4,9,7,2,3,1.0,1,1,63,5
1,21,0,154,55,0,0,1,0,0,0,0,0,2,10000.0,20000.0,2,5,1,2,9,8,6,5,4,9,7,2,3,1.0,1,2,4,4
1,21,0,154,55,0,0,1,0,0,0,0,0,2,10000.0,20000.0,2,5,1,2,9,8,6,5,4,9,7,2,3,1.0,1,3,129,3
1,21,0,154,55,0,0,1,0,0,0,0,0,2,10000.0,20000.0,2,5,1,2,9,8,6,5,4,9,7,2,3,1.0,1,4,145,2
1,21,0,154,55,0,0,1,0,0,0,0,0,2,10000.0,20000.0,2,5,1,2,9,8,6,5,4,9,7,2,3,1.0,1,5,135,1
1,21,0,154,55,0,0,1,0,0,0,0,0,1,10000.0,25000.0,2,3,1,5,10,9,7,6,5,10,4,3,1,1.0,1,1,58,5
1,21,0,154,55,0,0,1,0,0,0,0,0,1,10000.0,25000.0,2,3,1,5,10,9,7,6,5,10,4,3,1,1.0,1,2,103,4
1,21,0,154,55,0,0,1,0,0,0,0,0,1,10000.0,25000.0,2,3,1,5,10,9,7,6,5,10,4,3,1,1.0,1,3,60,3
1,21,0,154,55,0,0,1,0,0,0,0,0,1,10000.0,25000.0,2,3,1,5,10,9,7,6,5,10,4,3,1,1.0,1,4,115,2
1,21,0,154,55,0,0,1,0,0,0,0,0,1,10000.0,25000.0,2,3,1,5,10,9,7,6,5,10,4,3,1,1.0,1,5,63,1
1,21,0,154,55,0,0,1,0,0,0,0,0,0,10000.0,25000.0,4,4,2,3,10,10,5,3,2,9,3,4,1,1.0,1,1,20,5
1,21,0,154,55,0,0,1,0,0,0,0,0,0,10000.0,25000.0,4,4,2,3,10,10,5,3,2,9,3,4,1,1.0,1,2,20,4
1,21,0,154,55,0,0,1,0,0,0,0,0,0,10000.0,25000.0,4,4,2,3,10,10,5,3,2,9,3,4,1,1.0,1,3,129,3
1,21,0,154,55,0,0,1,0,0,0,0,0,0,10000.0,25000.0,4,4,2,3,10,10,5,3,2,9,3,4,1,1.0,1,4,135,2
1,21,0,154,55,0,0,1,0,0,0,0,0,0,10000.0,25000.0,4,4,2,3,10,10,5,3,2,9,3,4,1,1.0,1,5,63,1
1,21,0,154,55,0,0,1,0,0,0,0,0,3,5000.0,15000.0,6,7,1,3,10,8,5,3,2,9,6,2,4,1.0,1,1,5,5
