timestamp,usia,jenis_kelamin,tinggi_badan,berat_badan,aktivitas_fisik,pekerjaan,sarapan_makanan_1,sarapan_makanan_2,sarapan_makanan_3,sarapan_makanan_4,sarapan_makanan_5,sarapan_harga_minimal,sarapan_harga_maksimal,sarapan_asin,sarapan_manis,sarapan_asam,sarapan_gurih,sarapan_pedas,sarapan_renyah,sarapan_halus,sarapan_creamy,sarapan_kental,sarapan_digoreng,sarapan_direbus,sarapan_dibakar,sarapan_dikukus,sarapan_cepat_saji,sarapan_beli,makansiang_makanan_1,makansiang_makanan_2,makansiang_makanan_3,makansiang_makanan_4,makansiang_makanan_5,makansiang_harga_minimal,makansiang_harga_maksimal,makansiang_asin,makansiang_manis,makansiang_asam,makansiang_gurih,makansiang_pedas,makansiang_renyah,makansiang_halus,makansiang_creamy,makansiang_kental,makansiang_digoreng,makansiang_direbus,makansiang_dibakar,makansiang_dikukus,makansiang_cepat_saji,makansiang_beli,makanmalam_makanan_1,makanmalam_makanan_2,makanmalam_makanan_3,makanmalam_makanan_4,makanmalam_makanan_5,makanmalam_harga_minimal,makanmalam_harga_maksimal,makanmalam_asin,makanmalam_manis,makanmalam_asam,makanmalam_gurih,makanmalam_pedas,makanmalam_renyah,makanmalam_halus,makanmalam_creamy,makanmalam_kental,makanmalam_digoreng,makanmalam_direbus,makanmalam_dibakar,makanmalam_dikukus,makanmalam_cepat_saji,makanmalam_beli,snack_makanan_1,snack_makanan_2,snack_makanan_3,snack_makanan_4,snack_makanan_5,snack_harga_minimal,snack_harga_maksimal,snack_asin,snack_manis,snack_asam,snack_gurih,snack_pedas,snack_renyah,snack_halus,snack_creamy,snack_kental,snack_digoreng,snack_direbus,snack_dibakar,snack_dikukus,snack_cepat_saji,snack_beli
21/05/2023 10:42:09,20,Laki-laki,173,55,Ringan,Mahasiswa ,11,57,167,135,144,5000,20000,9,10,5,8,8,8,7,5,5,10,7,7,7,Ya,Ya,63,64,71,91,94,10000,25000,9,8,8,9,10,8,6,6,6,10,7,9,7,Ya,Ya,91,64,71,94,103,10000,25000,9,7,7,9,10,10,5,5,5,10,5,9,5,Ya,Ya,135,145,131,167,168,5000,15000,8,10,8,10,7,10,6,6,7,10,6,6,6,Ya,Ya
21/05/2023 11:21:18,21,Laki-laki,171,49,Ringan,Mahasiswa ,55,160,155,169,67,15000,95000,1,8,6,8,10,4,4,7,6,7,5,9,9,Tidak,Ya,55,55,56,160,169,15000,50000,1,8,3,7,9,7,6,7,6,8,5,10,5,Tidak,Ya,22,15,170,169,159,10000,35000,1,9,5,7,5,7,7,8,5,5,5,6,4,Ya,Ya,174,172,158,15,6,5000,25000,6,10,2,5,7,5,5,5,7,8,5,6,5,Ya,Ya
21/05/2023 14:01:33,20,Perempuan,156,44,Sedang,Mahasiswa,120,115,118,124,163,10000,15000,7,5,6,7,10,10,5,5,4,8,5,7,6,Ya,Ya,58,59,63,115,121,10000,25000,7,5,6,7,9,9,5,4,3,7,5,7,5,Ya,Ya,58,59,63,115,121,10000,25000,9,7,6,8,10,10,4,5,4,9,7,8,7,Ya,Tidak,129,145,170,171,162,10.000,20.000,9,7,6,8,10,10,4,4,3,9,3,8,4,Ya,Ya
21/05/2023 18:25:34,20,Laki-laki,175,55,Sedang,Mahasiswa,135,158,11,52,12,15000,20000,2,1,2,7,8,9,6,5,7,1,5,1,5,Tidak,Tidak,121,66,78,121,112,13000,20000,2,2,2,8,8,8,3,3,3,6,3,7,2,Tidak,Tidak,22,121,58,118,81,15000,20000,4,1,1,8,8,8,1,1,1,7,5,8,5,Tidak,Ya,32,34,55,169,172,15000,20000,1,7,1,5,1,9,1,1,1,4,7,1,7,Ya,Ya
21/05/2023 18:27:01,18,Perempuan,142,36,Ringan,Mahasiswa,122,58,170,133,43,15000,40000,2,10,1,8,8,9,10,8,5,8,5,3,4,Ya,Ya,121,172,169,129,60,15000,30000,4,9,2,7,8,8,8,6,4,7,6,4,5,Ya,Ya,125,20,14,6,34,15000,35000,4,8,3,7,8,8,6,7,7,6,5,4,5,Ya,Ya,17,144,170,9,3,10000,40000,3,8,2,9,7,7,6,5,4,8,6,4,5,Ya,Ya
21/05/2023 18:40:40,20,Perempuan,155,39,Ringan,Mahasiswa ,104,135,117,22,59,5000,10000,5,7,4,8,7,9,4,3,3,8,6,8,6,Tidak,Ya,22,63,145,59,5,5000,10000,8,8,7,8,8,8,6,4,6,9,8,2,2,Ya,Ya,57,63,115,103,104,5000,10000,9,9,9,9,9,9,3,3,4,9,9,3,3,Tidak,Ya,167,152,145,36,9,2000,5000,9,8,9,9,9,9,7,5,6,8,9,2,2,Ya,Ya
21/05/2023 18:42:01,20,Perempuan,145,40,Ringan,Mahasiswa,11,103,32,168,144,10000,25000,2,9,1,8,7,8,7,8,6,7,8,6,7,Tidak,Tidak,121,125,159,163,169,15000,25000,2,9,7,8,9,8,7,9,9,9,8,7,8,Ya,Ya,171,55,56,48,60,10000,30000,3,5,3,5,6,5,4,4,5,6,5,4,4,Ya,Ya,9,15,32,167,174,8000,20000,1,10,2,7,7,9,8,8,7,8,8,8,8,Ya,Ya
21/05/2023 18:49:32,20,Laki-laki,170,50,Ringan,Mahasiswa,163,122,115,117,118,10000,15000,8,9,7,9,10,10,9,9,10,10,10,9,10,Tidak,Ya,118,119,117,105,106,10000,20000,9,8,10,9,10,10,9,9,8,10,9,10,10,Tidak,Ya,115,116,21,22,23,10000,20000,9,9,10,9,10,10,9,9,10,10,10,10,9,Tidak,Ya,144,145,167,168,169,5000,20000,9,10,10,10,9,9,10,10,9,10,10,9,10,Tidak,Ya
21/05/2023 18:54:25,25,Laki-laki,160,50,Sedang,Guru,143,135,130,93,161,10000,25000,3,8,3,7,6,6,5,6,6,6,7,5,6,Tidak,Ya,4,63,64,152,136,10000,25000,4,4,4,5,5,5,4,4,4,5,5,3,4,Ya,Ya,14,20,21,22,23,10000,15000,6,6,3,6,6,5,5,5,6,7,7,3,4,Tidak,Tidak,9,35,36,37,38,10000,20000,7,5,3,7,7,7,4,3,3,7,7,4,5,Ya,Ya
21/05/2023 19:02:53,40,Perempuan,162,50,Sedang,PNS,11,12,13,144,163,3000,15000,10,9,9,10,10,9,10,9,10,9,10,10,9,Tidak,Tidak,153,154,155,126,127,10000,15000,8,10,8,10,10,9,9,9,7,10,10,9,10,Tidak,Ya,81,22,23,24,105,5000,15000,9,10,9,9,9,10,10,10,8,10,10,9,9,Tidak,Tidak,167,168,169,170,162,1000,20000,9,10,9,9,10,10,9,10,10,9,10,9,10,Tidak,Tidak
21/05/2023 19:05:55,28,Laki-laki,165,55,Ringan,Staff,11,168,152,159,160,5000,15000,2,9,2,3,3,3,7,7,8,4,7,3,7,Tidak,Tidak,121,122,123,124,125,12000,25000,7,4,6,7,8,8,3,3,3,8,7,5,7,Ya,Ya,115,60,173,174,163,10000,20000,6,6,6,6,6,6,4,4,4,8,6,3,4,Ya,Ya,4,6,9,167,169,10000,15000,5,7,5,6,6,6,6,6,6,6,6,1,3,Ya,Ya
21/05/2023 19:10:22,30,Laki-laki,170,60,Sedang,Guru,115,116,117,118,119,10000,20000,8,10,10,9,9,9,10,9,9,9,9,10,10,Tidak,Tidak,146,147,148,149,142,10000,20000,9,10,9,9,10,10,10,8,7,10,10,7,7,Tidak,Tidak,81,103,21,22,23,10000,20000,8,10,7,9,10,9,10,10,7,10,10,10,9,Tidak,Tidak,1,2,3,4,5,10000,20000,7,10,7,10,9,10,10,10,7,7,9,9,7,Tidak,Tidak
21/05/2023 20:02:09,22,Perempuan,150,40,Ringan,mahasiswa,11,12,13,142,143,10000,20000,8,8,9,8,9,7,8,8,8,8,7,9,9,Tidak,Tidak,124,125,126,153,155,10000,20000,7,9,8,8,7,8,9,7,8,8,7,8,8,Tidak,Tidak,21,22,23,24,25,5000,10000,8,7,6,8,8,8,9,9,8,8,9,9,9,Tidak,Tidak,15,16,17,162,163,10000,15000,9,9,7,8,8,9,8,8,8,8,8,8,9,Tidak,Tidak
21/05/2023 20:08:59,40,Laki-laki,160,40,Ringan,PNS,158,159,160,161,143,10000,15000,7,8,6,7,8,9,8,8,9,8,7,8,9,Tidak,Ya,127,117,118,119,120,10000,20000,7,6,8,8,9,8,9,9,8,9,9,8,9,Ya,Ya,114,115,116,23,25,5000,10000,8,9,8,7,8,9,9,8,8,8,9,8,9,Tidak,Tidak,43,44,45,46,161,10000,20000,7,8,4,9,8,8,8,9,7,8,9,8,9,Tidak,Tidak
21/05/2023 20:15:41,26,Laki-laki,170,52,Sedang,Guru,153,154,155,156,157,2000,10000,8,8,5,7,9,8,9,8,9,8,9,9,9,Ya,Ya,85,86,87,89,90,10000,20000,7,8,9,8,9,8,9,8,9,9,8,8,9,Tidak,Tidak,139,140,141,142,143,10000,20000,8,8,6,8,8,8,8,8,8,8,8,7,8,Tidak,Ya,1,3,2,5,6,10000,20000,7,8,8,9,8,8,9,7,8,8,9,8,6,Tidak,Tidak
