user_id,usia,jenis_kelamin,tinggi_badan,berat_badan,aktivitas_fisik,pekerjaan,waktu_makan,harga_minimal,harga_maksimal,asin,manis,asam,gurih,pedas,renyah,halus,creamy,kental,digoreng,direbus,dibakar,dikukus,cepat_saji,beli,ranking,makanan,rating
2,22,Laki-laki,170,53,Ringan,mahasiswa,snack,5000.0,20000.0,9,7,1,6,1,8,4,1,1,8,1,1,9,Tidak,Ya,3,145,3
2,22,Laki-laki,170,53,Ringan,mahasiswa,snack,5000.0,20000.0,9,7,1,6,1,8,4,1,1,8,1,1,9,Tidak,Ya,4,160,2
2,22,Laki-laki,170,53,Ringan,mahasiswa,snack,5000.0,20000.0,9,7,1,6,1,8,4,1,1,8,1,1,9,Tidak,Ya,5,167,1
3,20,Perempuan,158,56,Ringan,mahasiswa,makanmalam,10000.0,15000.0,7,7,5,5,4,5,5,5,4,6,6,7,6,Ya,Tidak,1,58,5
3,20,Perempuan,158,56,Ringan,mahasiswa,makanmalam,10000.0,15000.0,7,7,5,5,4,5,5,5,4,6,6,7,6,Ya,Tidak,2,59,4
3,20,Perempuan,158,56,Ringan,mahasiswa,makanmalam,10000.0,15000.0,7,7,5,5,4,5,5,5,4,6,6,7,6,Ya,Tidak,3,115,3
3,20,Perempuan,158,56,Ringan,mahasiswa,makanmalam,10000.0,15000.0,7,7,5,5,4,5,5,5,4,6,6,7,6,Ya,Tidak,4,94,2
3,20,Perempuan,158,56,Ringan,mahasiswa,makanmalam,10000.0,15000.0,7,7,5,5,4,5,5,5,4,6,6,7,6,Ya,Tidak,5,56,1
3,20,Perempuan,158,56,Ringan,mahasiswa,makansiang,10000.0,25000.0,6,5,7,6,6,6,4,4,4,7,6,6,6,Ya,Tidak,1,111,5
3,20,Perempuan,158,56,Ringan,mahasiswa,makansiang,10000.0,25000.0,6,5,7,6,6,6,4,4,4,7,6,6,6,Ya,Tidak,2,121,4
3,20,Perempuan,158,56,Ringan,mahasiswa,makansiang,10000.0,25000.0,6,5,7,6,6,6,4,4,4,7,6,6,6,Ya,Tidak,3,102,3
3,20,Perempuan,158,56,Ringan,mahasiswa,makansiang,10000.0,25000.0,6,5,7,6,6,6,4,4,4,7,6,6,6,Ya,Tidak,4,87,2
3,20,Perempuan,158,56,Ringan,mahasiswa,makansiang,10000.0,25000.0,6,5,7,6,6,6,4,4,4,7,6,6,6,Ya,Tidak,5,53,1
3,20,Perempuan,158,56,Ringan,mahasiswa,sarapan,5000.0,10000.0,5,6,7,5,5,6,4,4,4,6,6,7,6,Ya,Ya,1,120,5
3,20,Perempuan,158,56,Ringan,mahasiswa,sarapan,5000.0,10000.0,5,6,7,5,5,6,4,4,4,6,6,7,6,Ya,Ya,2,104,4
3,20,Perempuan,158,56,Ringan,mahasiswa,sarapan,5000.0,10000.0,5,6,7,5,5,6,4,4,4,6,6,7,6,Ya,Ya,3,94,3
3,20,Perempuan,158,56,Ringan,mahasiswa,sarapan,5000.0,10000.0,5,6,7,5,5,6,4,4,4,6,6,7,6,Ya,Ya,4,22,2
3,20,Perempuan,158,56,Ringan,mahasiswa,sarapan,5000.0,10000.0,5,6,7,5,5,6,4,4,4,6,6,7,6,Ya,Ya,5,9,1
3,20,Perempuan,158,56,Ringan,mahasiswa,snack,2000.0,5000.0,5,7,4,4,4,7,4,3,3,6,5,4,5,Ya,Ya,1,26,5
3,20,Perempuan,158,56,Ringan,mahasiswa,snack,2000.0,5000.0,5,7,4,4,4,7,4,3,3,6,5,4,5,Ya,Ya,2,167,4
3,20,Perempuan,158,56,Ringan,mahasiswa,snack,2000.0,5000.0,5,7,4,4,4,7,4,3,3,6,5,4,5,Ya,Ya,3,145,3
3,20,Perempuan,158,56,Ringan,mahasiswa,snack,2000.0,5000.0,5,7,4,4,4,7,4,3,3,6,5,4,5,Ya,Ya,4,5,2
3,20,Perempuan,158,56,Ringan,mahasiswa,snack,2000.0,5000.0,5,7,4,4,4,7,4,3,3,6,5,4,5,Ya,Ya,5,33,1
4,20,Perempuan,155,44,Ringan,mahasiswa,makanmalam,15000.0,25000.0,7,5,1,9,8,9,1,1,1,8,7,6,5,Ya,Tidak,1,57,5
4,20,Perempuan,155,44,Ringan,mahasiswa,makanmalam,15000.0,25000.0,7,5,1,9,8,9,1,1,1,8,7,6,5,Ya,Tidak,2,145,4
4,20,Perempuan,155,44,Ringan,mahasiswa,makanmalam,15000.0,25000.0,7,5,1,9,8,9,1,1,1,8,7,6,5,Ya,Tidak,3,4,3
4,20,Perempuan,155,44,Ringan,mahasiswa,makanmalam,15000.0,25000.0,7,5,1,9,8,9,1,1,1,8,7,6,5,Ya,Tidak,4,56,2
4,20,Perempuan,155,44,Ringan,mahasiswa,makanmalam,15000.0,25000.0,7,5,1,9,8,9,1,1,1,8,7,6,5,Ya,Tidak,5,91,1
4,20,Perempuan,155,44,Ringan,mahasiswa,makansiang,15000.0,30000.0,7,5,1,8,9,8,1,1,1,10,9,10,8,Tidak,Ya,1,4,5
4,20,Perempuan,155,44,Ringan,mahasiswa,makansiang,15000.0,30000.0,7,5,1,8,9,8,1,1,1,10,9,10,8,Tidak,Ya,2,63,4
4,20,Perempuan,155,44,Ringan,mahasiswa,makansiang,15000.0,30000.0,7,5,1,8,9,8,1,1,1,10,9,10,8,Tidak,Ya,3,78,3
4,20,Perempuan,155,44,Ringan,mahasiswa,makansiang,15000.0,30000.0,7,5,1,8,9,8,1,1,1,10,9,10,8,Tidak,Ya,4,22,2
4,20,Perempuan,155,44,Ringan,mahasiswa,makansiang,15000.0,30000.0,7,5,1,8,9,8,1,1,1,10,9,10,8,Tidak,Ya,5,57,1
4,20,Perempuan,155,44,Ringan,mahasiswa,sarapan,10000.0,15000.0,6,7,1,8,3,7,4,2,3,10,5,3,5,Ya,Tidak,1,163,5
4,20,Perempuan,155,44,Ringan,mahasiswa,sarapan,10000.0,15000.0,6,7,1,8,3,7,4,2,3,10,5,3,5,Ya,Tidak,2,17,4
4,20,Perempuan,155,44,Ringan,mahasiswa,sarapan,10000.0,15000.0,6,7,1,8,3,7,4,2,3,10,5,3,5,Ya,Tidak,3,131,3
4,20,Perempuan,155,44,Ringan,mahasiswa,sarapan,10000.0,15000.0,6,7,1,8,3,7,4,2,3,10,5,3,5,Ya,Tidak,4,93,2
4,20,Perempuan,155,44,Ringan,mahasiswa,sarapan,10000.0,15000.0,6,7,1,8,3,7,4,2,3,10,5,3,5,Ya,Tidak,5,94,1
4,20,Perempuan,155,44,Ringan,mahasiswa,snack,10000.0,15000.0,3,10,1,10,2,10,1,1,1,5,4,1,5,Tidak,Ya,1,15,5
4,20,Perempuan,155,44,Ringan,mahasiswa,snack,10000.0,15000.0,3,10,1,10,2,10,1,1,1,5,4,1,5,Tidak,Ya,2,36,4
4,20,Perempuan,155,44,Ringan,mahasiswa,snack,10000.0,15000.0,3,10,1,10,2,10,1,1,1,5,4,1,5,Tidak,Ya,3,33,3
4,20,Perempuan,155,44,Ringan,mahasiswa,snack,10000.0,15000.0,3,10,1,10,2,10,1,1,1,5,4,1,5,Tidak,Ya,4,162,2
4,20,Perempuan,155,44,Ringan,mahasiswa,snack,10000.0,15000.0,3,10,1,10,2,10,1,1,1,5,4,1,5,Tidak,Ya,5,9,1
5,20,Perempuan,158,40,Ringan,mahasiswa,makanmalam,5000.0,25000.0,5,7,4,7,9,9,6,4,4,9,9,9,7,Ya,Ya,1,104,5
5,20,Perempuan,158,40,Ringan,mahasiswa,makanmalam,5000.0,25000.0,5,7,4,7,9,9,6,4,4,9,9,9,7,Ya,Ya,2,24,4
5,20,Perempuan,158,40,Ringan,mahasiswa,makanmalam,5000.0,25000.0,5,7,4,7,9,9,6,4,4,9,9,9,7,Ya,Ya,3,4,3
5,20,Perempuan,158,40,Ringan,mahasiswa,makanmalam,5000.0,25000.0,5,7,4,7,9,9,6,4,4,9,9,9,7,Ya,Ya,4,58,2
5,20,Perempuan,158,40,Ringan,mahasiswa,makanmalam,5000.0,25000.0,5,7,4,7,9,9,6,4,4,9,9,9,7,Ya,Ya,5,62,1
5,20,Perempuan,158,40,Ringan,mahasiswa,makansiang,3000.0,15000.0,4,5,3,9,9,9,7,8,4,9,7,7,6,Ya,Tidak,1,111,5
5,20,Perempuan,158,40,Ringan,mahasiswa,makansiang,3000.0,15000.0,4,5,3,9,9,9,7,8,4,9,7,7,6,Ya,Tidak,2,104,4
5,20,Perempuan,158,40,Ringan,mahasiswa,makansiang,3000.0,15000.0,4,5,3,9,9,9,7,8,4,9,7,7,6,Ya,Tidak,3,22,3
5,20,Perempuan,158,40,Ringan,mahasiswa,makansiang,3000.0,15000.0,4,5,3,9,9,9,7,8,4,9,7,7,6,Ya,Tidak,4,145,2
5,20,Perempuan,158,40,Ringan,mahasiswa,makansiang,3000.0,15000.0,4,5,3,9,9,9,7,8,4,9,7,7,6,Ya,Tidak,5,63,1
5,20,Perempuan,158,40,Ringan,mahasiswa,sarapan,2000.0,15000.0,4,5,2,6,5,6,5,5,4,7,7,6,5,Ya,Tidak,1,19,5
5,20,Perempuan,158,40,Ringan,mahasiswa,sarapan,2000.0,15000.0,4,5,2,6,5,6,5,5,4,7,7,6,5,Ya,Tidak,2,93,4
5,20,Perempuan,158,40,Ringan,mahasiswa,sarapan,2000.0,15000.0,4,5,2,6,5,6,5,5,4,7,7,6,5,Ya,Tidak,3,104,3
5,20,Perempuan,158,40,Ringan,mahasiswa,sarapan,2000.0,15000.0,4,5,2,6,5,6,5,5,4,7,7,6,5,Ya,Tidak,4,115,2
5,20,Perempuan,158,40,Ringan,mahasiswa,sarapan,2000.0,15000.0,4,5,2,6,5,6,5,5,4,7,7,6,5,Ya,Tidak,5,120,1
5,20,Perempuan,158,40,Ringan,mahasiswa,snack,2000.0,10000.0,5,9,3,9,9,9,6,4,5,7,2,2,2,Ya,Ya,1,170,5
5,20,Perempuan,158,40,Ringan,mahasiswa,snack,2000.0,10000.0,5,9,3,9,9,9,6,4,5,7,2,2,2,Ya,Ya,2,36,4
5,20,Perempuan,158,40,Ringan,mahasiswa,snack,2000.0,10000.0,5,9,3,9,9,9,6,4,5,7,2,2,2,Ya,Ya,3,129,3
